CENTRO COMERCIAL	LOCAL	CATEGORIA
MALL DEL SOL	Fossil	accesorios
MALL DEL SOL	Freshii	gastronomia
MALL DEL SOL	Fujistore	electrodomesticos-y-tecnologia
MALL DEL SOL	Funky Fish	accesorios
MALL DEL SOL	Fybeca	salud-y-belleza
MALL DEL SOL	GAP	moda
MALL DEL SOL	Garmin	accesorios
MALL DEL SOL	Get in	moda
MALL DEL SOL	Gloria Saltos	salud-y-belleza
MALL DEL SOL	Gloss Beauty Shop	salud-y-belleza
MALL DEL SOL	GreenFrost	gastronomia
MALL DEL SOL	Guayakill Roller Shop	entretenimiento
MALL DEL SOL	H&M	moda
MALL DEL SOL	Hallmark	accesorios
MALL DEL SOL	Happy Cel	electrodomesticos-y-tecnologia
MALL DEL SOL	Head	accesorios
MALL DEL SOL	Helados McDonald´s PA	gastronomia
MALL DEL SOL	Helados McDonald´s PB	gastronomia
MALL DEL SOL	Honor	electrodomesticos-y-tecnologia
MALL DEL SOL	Ikura	gastronomia
MALL DEL SOL	Il Cappo Di Mangi	gastronomia
MALL DEL SOL	Imaginar	electrodomesticos-y-tecnologia
MALL DEL SOL	Indie	moda
MALL DEL SOL	Italian Deli	gastronomia
MALL DEL SOL	Jansport	accesorios
MALL DEL SOL	Japon Tech	electrodomesticos-y-tecnologia
MALL DEL SOL	Joyería Marthita	accesorios
MALL DEL SOL	Juan Valdez Café	gastronomia
MALL DEL SOL	Juguetón	entretenimiento
MALL DEL SOL	Kchinitas	moda
MALL DEL SOL	KFC	gastronomia
MALL DEL SOL	Koaj	moda
MALL DEL SOL	Kobe	gastronomia
MALL DEL SOL	Koko Cool	gastronomia
MALL DEL SOL	Krispy Kreme	gastronomia
